planes,num_planes,parameters,best_epoch,accuracy,precision,sensitivity,specificity,f1,auroc,tn,fp,fn,tp
axial,1,11177025,5,0.9243697478991597,0.8947368421052632,0.9444444444444444,0.9076923076923077,0.918918918918919,0.9726495726495726,59,6,3,51
coronal,1,11177025,10,0.8991596638655462,0.8888888888888888,0.8888888888888888,0.9076923076923077,0.8888888888888888,0.9464387464387465,59,6,6,48
sagittal,1,11177025,9,0.9495798319327731,0.9615384615384616,0.9259259259259259,0.9692307692307692,0.9433962264150944,0.9726495726495725,63,2,4,50
axial + coronal,2,11177537,6,0.9159663865546218,0.8928571428571429,0.9259259259259259,0.9076923076923077,0.9090909090909091,0.9635327635327635,59,6,4,50
axial + sagittal,2,11177537,7,0.9327731092436975,0.96,0.8888888888888888,0.9692307692307692,0.9230769230769231,0.9809116809116809,63,2,6,48
coronal + sagittal,2,11177537,8,0.8739495798319328,0.8823529411764706,0.8333333333333334,0.9076923076923077,0.8571428571428571,0.9219373219373218,59,6,9,45
axial + coronal + sagittal,3,11178049,5,0.9159663865546218,0.8793103448275862,0.9444444444444444,0.8923076923076924,0.9107142857142857,0.9732193732193732,58,7,3,51
